timestamp,device_id,stage,pressure,flow,acoustic,pH,tds,turbidity
2026-08-31T05:52:04.739971+00:00,ESP32_Node_1,LEAK,1.95,156,1.38,7.19,326,2.32
2026-08-31T05:52:09.123519+00:00,ESP32_Node_1,LEAK,1.94,152,1.32,7.23,325,2.07
2026-08-31T05:52:15.964238+00:00,ESP32_Node_1,NORMAL,2.45,117,0.75,7.21,323,2.06
2026-08-31T05:52:20.498925+00:00,ESP32_Node_1,NORMAL,2.43,122,0.75,7.16,316,1.81
2026-08-31T05:53:50.718794+00:00,ESP32_Node_1,NORMAL,2.56,116,0.79,7.21,296,2.04
2026-08-31T05:54:44.952062+00:00,ESP32_Node_1,EARLY_ANOMALY,2.25,129,0.96,7.17,326,2.39
2026-08-31T05:58:02.804404+00:00,ESP32_Node_1,EARLY_ANOMALY,2.31,124,1.07,7.23,313,2.37
2026-08-31T05:58:06.945396+00:00,ESP32_Node_1,EARLY_ANOMALY,2.31,130,1.03,7.18,330,2.58
2026-08-31T05:58:11.053613+00:00,ESP32_Node_1,EARLY_ANOMALY,2.27,126,1.02,7.24,319,2.69
2026-08-31T05:58:15.316698+00:00,ESP32_Node_1,EARLY_ANOMALY,2.24,128,1.02,7.15,331,2.37
2026-08-31T05:58:19.524775+00:00,ESP32_Node_1,EARLY_ANOMALY,2.35,123,0.92,7.24,320,2.32
2026-08-31T05:58:49.173603+00:00,ESP32_Node_1,LEAK,1.9,155,1.37,7.22,316,2.25
2026-08-31T06:02:03.302028+00:00,ESP32_Node_1,LEAK,1.8,147,1.4,7.21,302,2.34
2026-08-31T06:02:07.582826+00:00,ESP32_Node_1,LEAK,1.97,148,1.5,7.24,327,2.21
2026-08-31T06:02:11.733912+00:00,ESP32_Node_1,LEAK,1.92,142,1.35,7.23,315,2.4
2026-08-31T06:02:15.774903+00:00,ESP32_Node_1,LEAK,1.95,142,1.32,7.22,314,2.29
2026-08-31T06:02:19.684963+00:00,ESP32_Node_1,LEAK,1.95,156,1.42,7.22,312,2.34
2026-08-31T06:02:23.761702+00:00,ESP32_Node_1,SENSOR_FAULT,2.51,123,0.57,7.23,311,1.99
2026-08-31T06:02:27.857896+00:00,ESP32_Node_1,SENSOR_FAULT,2.56,119,1.02,7.24,317,1.82
2026-08-31T06:02:31.792787+00:00,ESP32_Node_1,SENSOR_FAULT,2.44,114,1.57,7.17,304,2.02
2026-08-31T06:02:35.856246+00:00,ESP32_Node_1,SENSOR_FAULT,2.4,116,0.5,7.15,310,1.99
2026-08-31T06:02:40.118544+00:00,ESP32_Node_1,SENSOR_FAULT,2.45,123,0.48,7.23,313,2.05
2026-08-31T06:02:44.101915+00:00,ESP32_Node_1,SENSOR_FAULT,2.59,120,0.89,7.25,297,1.82
2026-08-31T06:02:48.175550+00:00,ESP32_Node_1,NORMAL,2.48,117,0.81,7.16,298,1.87
2026-08-31T06:02:52.169493+00:00,ESP32_Node_1,NORMAL,2.4,122,0.77,7.16,315,1.93
2026-08-31T06:02:56.139556+00:00,ESP32_Node_1,NORMAL,2.41,123,0.75,7.17,316,2.19
2026-08-31T06:03:00.520837+00:00,ESP32_Node_1,NORMAL,2.46,120,0.83,7.23,308,2.11
2026-08-31T06:03:05.021427+00:00,ESP32_Node_1,NORMAL,2.55,121,0.85,7.15,313,2.07
