timestamp,device_id,stage,pressure,flow,acoustic,pH,tds,turbidity
2026-08-03T13:30:49.506102+00:00,ESP32_Node_2,LEAK,1.569,206.338,1.164,7.094,300.344,1.635
2026-08-03T13:41:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.921,137.395,0.746,8.694,314.115,2.017
2026-08-03T13:42:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.573,120.557,0.55,7.15,25.0,1.891
2026-08-03T14:07:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.498,132.999,0.522,7.0,519.064,6.526
2026-08-03T14:09:49.506102+00:00,ESP32_Node_4,NORMAL,2.622,137.514,0.667,7.257,337.665,2.384
2026-08-03T15:47:49.506102+00:00,ESP32_Node_2,LEAK,1.74,155.019,1.832,7.225,334.848,0.953
2026-08-03T16:24:49.506102+00:00,ESP32_Node_1,NORMAL,2.385,96.959,0.641,7.022,315.66,1.823
2026-08-03T16:46:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.359,135.694,0.578,2.5,306.833,1.824
2026-08-03T16:56:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.475,132.866,0.481,7.274,448.594,2.097
2026-08-03T16:59:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.597,500.0,0.27,7.157,271.23,1.497
2026-08-03T17:25:49.506102+00:00,ESP32_Node_4,LEAK,2.09,152.617,1.384,6.992,308.994,1.948
2026-08-03T18:29:49.506102+00:00,ESP32_Node_3,NORMAL,2.636,132.704,0.418,7.107,304.121,1.847
2026-08-03T18:57:49.506102+00:00,ESP32_Node_4,NORMAL,2.595,119.574,0.348,7.181,336.475,1.79
2026-08-03T19:06:49.506102+00:00,ESP32_Node_4,LEAK,1.642,176.199,1.64,6.962,302.029,1.081
2026-08-03T19:13:49.506102+00:00,ESP32_Node_4,LEAK,1.752,156.237,1.781,7.179,332.018,2.436
2026-08-03T19:28:49.506102+00:00,ESP32_Node_1,NORMAL,2.57,111.7,0.612,7.005,282.604,1.799
2026-08-03T19:38:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.671,95.582,0.555,7.12,318.234,40.0
2026-08-03T19:48:49.506102+00:00,ESP32_Node_4,LEAK,1.811,172.394,1.225,7.146,359.103,1.237
2026-08-03T20:22:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.105,153.444,1.041,7.055,306.042,2.476
2026-08-03T20:35:49.506102+00:00,ESP32_Node_3,NORMAL,2.661,119.183,0.468,7.308,348.333,1.473
2026-08-03T20:45:49.506102+00:00,ESP32_Node_3,EARLY_ANOMALY,2.165,148.416,0.77,7.124,323.242,1.796
2026-08-03T21:11:49.506102+00:00,ESP32_Node_1,NORMAL,2.396,118.559,0.61,7.324,301.222,1.79
2026-08-03T21:31:49.506102+00:00,ESP32_Node_4,NORMAL,2.617,112.761,0.427,7.149,289.841,1.604
2026-08-03T21:32:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.815,131.783,0.422,13.0,318.841,1.826
2026-08-03T22:31:49.506102+00:00,ESP32_Node_1,NORMAL,2.453,126.148,0.655,7.032,312.841,1.648
2026-08-03T22:37:49.506102+00:00,ESP32_Node_1,LEAK,1.264,174.81,1.464,7.149,335.156,2.04
2026-08-03T23:06:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.665,123.041,0.464,8.107,407.196,2.825
2026-08-03T23:10:49.506102+00:00,ESP32_Node_1,NORMAL,2.336,111.034,0.524,7.096,312.168,1.438
2026-08-03T23:53:49.506102+00:00,ESP32_Node_4,NORMAL,2.742,136.682,0.689,7.123,276.591,1.717
2026-08-04T00:02:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.734,116.477,0.475,7.109,532.587,2.324
2026-08-04T00:38:49.506102+00:00,ESP32_Node_1,NORMAL,2.623,93.579,0.621,7.357,318.158,1.999
2026-08-04T01:04:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.294,126.089,0.701,7.105,652.029,1.769
2026-08-04T01:05:49.506102+00:00,ESP32_Node_4,LEAK,1.515,127.528,1.865,7.226,300.104,1.448
2026-08-04T01:35:49.506102+00:00,ESP32_Node_2,NORMAL,2.561,120.843,0.428,7.079,327.724,1.602
2026-08-04T01:51:49.506102+00:00,ESP32_Node_3,NORMAL,2.612,137.858,0.425,7.292,308.723,1.592
